Optimization Results - Gamma,,,,,,,
NDC,,,,SDC,,,
iter,a,S_init,RMSE,iter,a,S_init,RMSE
1,0.050,100.000,2.102,1,0.050,100.000,2.274
2,0.050,100.000,2.102,2,0.050,100.000,2.274
3,0.050,100.000,2.102,3,0.050,100.000,2.274
4,0.480,100.000,1.856,4,0.990,100.000,0.782
5,0.480,100.000,1.856,5,0.990,100.000,0.782
6,0.480,100.000,1.856,6,0.990,100.000,0.782
7,0.990,100.005,1.063,7,0.990,100.004,0.782
8,0.990,100.005,1.063,8,0.990,100.004,0.782
9,0.990,100.005,1.063,9,0.990,100.004,0.782
10,0.990,100.009,1.063,10,0.990,100.023,0.782
11,0.990,100.009,1.063,11,0.990,100.023,0.782
12,0.990,100.009,1.063,12,0.990,100.023,0.782
13,0.990,100.031,1.063,13,0.990,100.117,0.782
14,0.990,100.031,1.063,14,0.990,100.117,0.782
15,0.990,100.031,1.063,15,0.990,100.117,0.782
16,0.990,100.139,1.062,16,0.990,100.586,0.780
17,0.990,100.139,1.062,17,0.990,100.586,0.780
18,0.990,100.139,1.062,18,0.990,100.586,0.780
19,0.990,100.682,1.060,19,0.990,102.923,0.771
20,0.990,100.682,1.060,20,0.990,102.923,0.771
21,0.990,100.682,1.060,21,0.990,102.923,0.771
22,0.990,103.384,1.049,22,0.990,114.418,0.730
23,0.990,103.384,1.049,23,0.990,114.418,0.730
24,0.990,103.384,1.049,24,0.990,114.418,0.730
25,0.990,116.627,0.995,25,0.990,167.497,0.579
26,0.990,116.627,0.995,26,0.990,167.497,0.579
27,0.990,116.627,0.995,27,0.990,167.497,0.579
28,0.990,176.680,0.808,28,0.990,293.956,0.371
29,0.990,176.680,0.808,29,0.990,293.956,0.371
30,0.990,176.680,0.808,30,0.990,293.956,0.371
31,0.990,288.936,0.613,31,0.990,393.712,0.297
32,0.990,288.936,0.613,32,0.990,393.712,0.297
33,0.990,288.936,0.613,33,0.990,393.712,0.297
34,0.990,300.000,0.602,34,0.990,475.886,0.271
35,0.990,300.000,0.602,35,0.990,475.886,0.271
36,0.990,300.000,0.602,36,0.990,475.886,0.271
,,,,37,0.990,500.000,0.267
,,,,38,0.990,500.000,0.267
,,,,39,0.990,500.000,0.267