DateTime,P_gridMET,ET_Ref_ ETo,NDVI,ET_SSEBop,ET_geeSEBAL,ET_DisALEXI,ET_SIMS,ET_PT_JPL
1/1/2020 0:00:00,0.00,1.62,0.40,0.70,0.00,0.50,0.61,1.29
1/2/2020 0:00:00,0.00,2.06,0.40,0.91,0.00,0.63,0.82,1.49
1/3/2020 0:00:00,0.00,1.97,0.40,0.89,0.00,0.59,0.82,1.27
1/4/2020 0:00:00,0.00,1.35,0.40,0.62,0.00,0.39,0.58,0.76
1/5/2020 0:00:00,0.00,1.71,0.40,0.81,0.00,0.48,0.77,0.82
1/6/2020 0:00:00,0.00,1.97,0.40,0.96,0.00,0.55,0.93,0.80
1/7/2020 0:00:00,0.00,1.80,0.41,0.88,0.12,0.54,0.88,0.87
1/8/2020 0:00:00,1.00,1.08,0.42,0.53,0.14,0.35,0.55,0.61
1/9/2020 0:00:00,8.20,0.99,0.43,0.49,0.20,0.34,0.52,0.64
1/10/2020 0:00:00,0.00,1.35,0.45,0.68,0.36,0.50,0.74,0.98
1/11/2020 0:00:00,0.80,1.17,0.46,0.60,0.39,0.46,0.66,0.95
1/12/2020 0:00:00,0.50,1.26,0.47,0.65,0.50,0.52,0.74,1.12
1/13/2020 0:00:00,2.00,0.99,0.48,0.52,0.46,0.43,0.60,0.96
1/14/2020 0:00:00,0.70,1.08,0.49,0.57,0.57,0.50,0.68,1.14
1/15/2020 0:00:00,0.00,1.17,0.49,0.62,0.60,0.53,0.73,1.21
1/16/2020 0:00:00,18.90,0.81,0.49,0.43,0.40,0.36,0.51,0.82
1/17/2020 0:00:00,0.00,1.26,0.49,0.67,0.59,0.56,0.79,1.25
1/18/2020 0:00:00,0.00,1.62,0.49,0.87,0.72,0.72,1.02,1.57
1/19/2020 0:00:00,0.00,2.06,0.49,1.12,0.88,0.91,1.30,1.96
1/20/2020 0:00:00,0.00,1.62,0.49,0.88,0.65,0.70,1.02,1.50
1/21/2020 0:00:00,2.10,1.08,0.49,0.59,0.41,0.46,0.68,0.98
1/22/2020 0:00:00,0.00,1.08,0.49,0.59,0.39,0.46,0.68,0.96
1/23/2020 0:00:00,0.00,1.35,0.48,0.74,0.46,0.57,0.86,1.17
1/24/2020 0:00:00,0.00,1.35,0.48,0.75,0.43,0.56,0.86,1.14
1/25/2020 0:00:00,2.40,1.17,0.48,0.65,0.35,0.48,0.74,0.96
1/26/2020 0:00:00,3.30,0.99,0.48,0.55,0.27,0.41,0.63,0.79
1/27/2020 0:00:00,0.00,1.44,0.48,0.81,0.37,0.58,0.92,1.12
1/28/2020 0:00:00,0.40,1.53,0.48,0.87,0.36,0.61,0.98,1.16
1/29/2020 0:00:00,0.00,2.24,0.48,1.28,0.48,0.89,1.44,1.66
1/30/2020 0:00:00,0.00,2.06,0.48,1.18,0.39,0.81,1.33,1.48
1/31/2020 0:00:00,0.00,2.42,0.48,1.39,0.41,0.94,1.56,1.69
2/1/2020 0:00:00,0.00,2.31,0.48,1.34,0.34,0.89,1.49,1.56
2/2/2020 0:00:00,0.00,1.51,0.48,0.88,0.19,0.58,0.98,0.99
2/3/2020 0:00:00,0.00,1.78,0.48,1.04,0.19,0.67,1.15,1.13
2/4/2020 0:00:00,0.00,2.13,0.48,1.25,0.18,0.80,1.38,1.31
2/5/2020 0:00:00,0.00,2.40,0.47,1.41,0.15,0.89,1.56,1.42
2/6/2020 0:00:00,0.00,2.13,0.47,1.26,0.09,0.78,1.39,1.22
2/7/2020 0:00:00,0.00,2.40,0.47,1.43,0.05,0.87,1.56,1.32
2/8/2020 0:00:00,0.00,2.04,0.48,1.22,0.04,0.75,1.35,1.15
2/9/2020 0:00:00,0.00,2.93,0.48,1.74,0.05,1.08,1.96,1.68
2/10/2020 0:00:00,0.00,3.55,0.49,2.11,0.05,1.32,2.41,2.08
2/11/2020 0:00:00,0.00,3.29,0.49,1.95,0.04,1.23,2.26,1.97
2/12/2020 0:00:00,0.00,2.13,0.50,1.27,0.02,0.81,1.48,1.30
2/13/2020 0:00:00,0.00,1.60,0.51,0.95,0.01,0.61,1.13,1.00
2/14/2020 0:00:00,0.00,1.78,0.51,1.05,0.01,0.69,1.27,1.13
2/15/2020 0:00:00,0.00,2.31,0.52,1.37,0.01,0.90,1.67,1.50
2/16/2020 0:00:00,0.00,2.13,0.45,1.60,1.12,2.06,1.54,1.40
2/17/2020 0:00:00,0.00,2.93,0.45,2.17,1.45,2.72,2.11,1.87
2/18/2020 0:00:00,0.00,2.49,0.45,1.83,1.16,2.20,1.79,1.53
2/19/2020 0:00:00,0.00,2.13,0.46,1.55,0.94,1.80,1.53,1.27
2/20/2020 0:00:00,0.00,2.22,0.46,1.60,0.91,1.79,1.59,1.27
2/21/2020 0:00:00,0.00,3.02,0.47,2.16,1.15,2.31,2.16,1.67
2/22/2020 0:00:00,0.00,1.96,0.47,1.38,0.69,1.41,1.39,1.04
2/23/2020 0:00:00,0.00,1.78,0.48,1.24,0.58,1.21,1.26,0.91
2/24/2020 0:00:00,0.00,3.11,0.48,2.15,0.92,1.99,2.21,1.52
2/25/2020 0:00:00,0.00,3.91,0.49,2.68,1.05,2.35,2.77,1.83
2/26/2020 0:00:00,0.00,3.02,0.49,2.05,0.72,1.69,2.14,1.35
2/27/2020 0:00:00,0.00,3.11,0.49,2.09,0.66,1.61,2.19,1.33
2/28/2020 0:00:00,0.00,2.93,0.50,1.95,0.54,1.40,2.06,1.19
2/29/2020 0:00:00,0.00,2.40,0.50,1.58,0.37,1.05,1.69,0.92
3/1/2020 0:00:00,0.00,2.00,0.51,1.30,0.25,0.79,1.40,0.73
3/2/2020 0:00:00,0.00,4.19,0.51,2.70,0.41,1.49,2.93,1.43
3/3/2020 0:00:00,0.00,3.91,0.48,2.56,0.13,1.81,2.61,1.80
3/4/2020 0:00:00,0.00,3.19,0.48,2.09,0.18,1.52,2.14,1.50
3/5/2020 0:00:00,0.00,2.82,0.48,1.86,0.22,1.39,1.90,1.35
3/6/2020 0:00:00,0.00,2.46,0.48,1.62,0.25,1.24,1.66,1.21
3/7/2020 0:00:00,5.40,1.37,0.49,0.90,0.17,0.71,0.93,0.68
3/8/2020 0:00:00,0.00,2.09,0.49,1.39,0.31,1.12,1.42,1.07
3/9/2020 0:00:00,0.00,2.28,0.49,1.51,0.39,1.25,1.55,1.19
3/10/2020 0:00:00,0.40,2.37,0.49,1.57,0.46,1.33,1.62,1.26
3/11/2020 0:00:00,0.00,2.91,0.49,1.94,0.64,1.68,2.00,1.58
3/12/2020 0:00:00,0.00,3.37,0.50,2.25,0.81,2.00,2.32,1.87
3/13/2020 0:00:00,0.00,2.64,0.50,1.77,0.70,1.60,1.83,1.49
3/14/2020 0:00:00,35.80,1.27,0.50,0.85,0.37,0.79,0.89,0.73
3/15/2020 0:00:00,27.60,1.18,0.50,0.80,0.37,0.75,0.82,0.69
3/16/2020 0:00:00,11.80,1.18,0.51,0.80,0.40,0.77,0.83,0.71
3/17/2020 0:00:00,6.10,1.73,0.51,1.17,0.62,1.15,1.21,1.05
3/18/2020 0:00:00,1.80,1.37,0.51,0.92,0.52,0.93,0.96,0.84
3/19/2020 0:00:00,0.80,1.91,0.51,1.30,0.77,1.33,1.35,1.20
3/20/2020 0:00:00,1.80,2.46,0.52,1.67,1.05,1.74,1.74,1.57
3/21/2020 0:00:00,0.90,1.73,0.52,1.18,0.78,1.25,1.23,1.12
3/22/2020 0:00:00,2.40,2.28,0.52,1.55,1.08,1.68,1.62,1.50
3/23/2020 0:00:00,0.00,1.73,0.52,1.18,0.86,1.30,1.24,1.16
3/24/2020 0:00:00,5.50,2.00,0.53,1.37,1.04,1.53,1.44,1.36
3/25/2020 0:00:00,1.80,1.91,0.53,1.31,1.04,1.49,1.38,1.32
3/26/2020 0:00:00,2.20,2.37,0.53,1.63,1.34,1.88,1.71,1.66
3/27/2020 0:00:00,0.00,2.37,0.53,1.63,1.39,1.91,1.72,1.69
3/28/2020 0:00:00,2.30,1.55,0.54,1.07,0.95,1.27,1.13,1.12
3/29/2020 0:00:00,0.50,2.18,0.54,1.51,1.39,1.83,1.60,1.60
3/30/2020 0:00:00,0.00,2.82,0.54,1.95,1.86,2.40,2.07,2.10
3/31/2020 0:00:00,0.00,2.73,0.54,1.90,1.86,2.37,2.01,2.06
4/1/2020 0:00:00,0.00,2.68,0.55,1.86,1.89,2.36,1.98,2.05
4/2/2020 0:00:00,0.00,3.48,0.55,2.43,2.54,3.12,2.58,2.70
4/3/2020 0:00:00,0.00,3.21,0.55,2.24,2.42,2.92,2.39,2.53
4/4/2020 0:00:00,15.70,1.25,0.55,0.88,0.96,1.12,0.93,0.99
4/5/2020 0:00:00,38.70,0.71,0.56,0.51,0.56,0.63,0.53,0.57
4/6/2020 0:00:00,8.80,1.34,0.56,0.96,1.08,1.17,1.00,1.07
4/7/2020 0:00:00,0.00,2.77,0.56,1.99,2.28,2.38,2.06,2.21
4/8/2020 0:00:00,0.00,2.68,0.56,1.94,2.25,2.27,2.00,2.15
4/9/2020 0:00:00,2.40,1.79,0.56,1.30,1.53,1.49,1.33,1.44
4/10/2020 0:00:00,0.00,2.68,0.56,1.97,2.35,2.21,2.00,2.16
4/11/2020 0:00:00,0.00,2.95,0.57,2.18,2.63,2.39,2.20,2.39
4/12/2020 0:00:00,0.00,2.86,0.57,2.13,2.60,2.28,2.13,2.33
4/13/2020 0:00:00,0.00,3.75,0.57,2.81,3.48,2.95,2.80,3.06
4/14/2020 0:00:00,0.00,5.00,0.57,3.78,4.73,3.88,3.74,4.10
4/15/2020 0:00:00,0.00,4.29,0.57,3.26,4.13,3.27,3.21,3.53
4/16/2020 0:00:00,0.00,3.12,0.58,2.39,3.07,2.35,2.34,2.58
4/17/2020 0:00:00,0.00,3.12,0.58,2.41,3.13,2.31,2.34,2.59
4/18/2020 0:00:00,0.00,3.12,0.58,2.42,3.18,2.27,2.34,2.60
4/19/2020 0:00:00,0.00,3.21,0.58,2.51,3.33,2.30,2.41,2.68
4/20/2020 0:00:00,0.00,2.32,0.58,1.83,2.45,1.63,1.74,1.95
4/21/2020 0:00:00,0.00,3.57,0.58,2.83,3.83,2.46,2.68,3.00
4/22/2020 0:00:00,0.00,4.55,0.59,3.63,4.96,3.08,3.42,3.84
4/23/2020 0:00:00,0.00,4.55,0.59,3.65,5.04,3.03,3.43,3.86
4/24/2020 0:00:00,0.00,5.98,0.59,4.83,6.73,3.91,4.50,5.08
4/25/2020 0:00:00,0.00,5.36,0.59,4.35,6.12,3.43,4.04,4.57
4/26/2020 0:00:00,0.00,4.55,0.59,3.72,5.28,2.86,3.43,3.90
4/27/2020 0:00:00,0.00,4.82,0.60,3.97,5.68,2.97,3.64,4.14
4/28/2020 0:00:00,0.00,5.36,0.60,4.46,5.84,3.28,4.05,4.55
4/29/2020 0:00:00,0.00,3.93,0.61,3.30,3.94,2.39,2.97,3.30
4/30/2020 0:00:00,0.00,4.37,0.62,3.72,4.00,2.65,3.31,3.63
5/1/2020 0:00:00,0.00,4.69,0.63,4.03,3.87,2.82,3.56,3.85
5/2/2020 0:00:00,0.00,3.19,0.64,2.76,2.35,1.91,2.42,2.58
5/3/2020 0:00:00,0.00,4.25,0.65,3.72,2.76,2.53,3.23,3.40
5/4/2020 0:00:00,0.00,5.66,0.66,5.02,3.18,3.35,4.31,4.48
5/5/2020 0:00:00,0.00,4.95,0.67,4.44,2.35,2.91,3.78,3.87
5/6/2020 0:00:00,0.00,5.66,0.61,4.97,0.22,2.50,4.19,3.52
5/7/2020 0:00:00,0.00,6.37,0.61,5.56,0.66,2.91,4.65,4.06
5/8/2020 0:00:00,0.00,6.64,0.61,5.75,1.12,3.14,4.78,4.34
5/9/2020 0:00:00,0.00,5.57,0.61,4.79,1.30,2.72,3.95,3.74
5/10/2020 0:00:00,0.00,4.34,0.61,3.70,1.29,2.18,3.03,2.98
5/11/2020 0:00:00,0.40,3.54,0.61,3.00,1.28,1.84,2.44,2.49
5/12/2020 0:00:00,1.60,2.04,0.61,1.71,0.87,1.09,1.38,1.47
5/13/2020 0:00:00,1.90,3.45,0.61,2.88,1.70,1.90,2.30,2.54
5/14/2020 0:00:00,0.40,3.36,0.60,2.79,1.87,1.90,2.21,2.53
5/15/2020 0:00:00,0.00,4.34,0.60,3.57,2.70,2.52,2.80,3.33
5/16/2020 0:00:00,0.00,4.42,0.60,3.61,3.04,2.64,2.81,3.48
5/17/2020 0:00:00,13.10,2.57,0.60,2.08,1.93,1.57,1.60,2.06
5/18/2020 0:00:00,6.70,2.48,0.60,1.99,2.02,1.56,1.52,2.03
5/19/2020 0:00:00,0.50,3.54,0.60,2.83,3.12,2.28,2.14,2.95
5/20/2020 0:00:00,0.00,4.07,0.60,3.23,3.85,2.69,2.42,3.46
5/21/2020 0:00:00,0.00,4.95,0.59,3.90,5.01,3.35,2.89,4.30
5/22/2020 0:00:00,0.00,5.04,0.44,2.93,6.69,4.08,2.28,3.20
5/23/2020 0:00:00,0.00,5.75,0.44,3.34,6.97,4.31,2.47,3.64
5/24/2020 0:00:00,0.00,6.37,0.45,3.71,6.99,4.40,2.60,4.02
5/25/2020 0:00:00,0.00,6.64,0.46,3.88,6.52,4.19,2.56,4.17
5/26/2020 0:00:00,0.00,6.64,0.46,3.89,5.76,3.79,2.41,4.15
5/27/2020 0:00:00,0.00,7.08,0.47,4.16,5.33,3.63,2.42,4.41
5/28/2020 0:00:00,0.00,6.55,0.47,3.85,4.18,2.97,2.09,4.07
5/29/2020 0:00:00,0.00,5.13,0.48,3.03,2.68,2.02,1.53,3.18
5/30/2020 0:00:00,8.50,3.01,0.49,1.81,1.53,1.25,0.88,1.99
5/31/2020 0:00:00,0.00,3.54,0.49,2.16,1.75,1.55,1.01,2.50
6/1/2020 0:00:00,0.00,4.46,0.50,2.78,2.14,2.05,1.25,3.34
6/2/2020 0:00:00,0.00,6.69,0.50,4.24,3.10,3.22,1.84,5.30
6/3/2020 0:00:00,0.00,7.31,0.51,4.71,3.29,3.67,1.97,6.11
6/4/2020 0:00:00,0.00,7.14,0.51,4.67,3.10,3.74,1.88,6.26
6/5/2020 0:00:00,0.00,4.46,0.52,2.97,1.87,2.43,1.15,4.11
6/6/2020 0:00:00,0.00,4.01,0.52,2.71,1.63,2.28,1.01,3.87
6/7/2020 0:00:00,0.00,4.37,0.52,2.94,1.99,2.52,1.06,4.13
6/8/2020 0:00:00,0.00,6.15,0.52,4.11,3.12,3.60,1.43,5.70
6/9/2020 0:00:00,0.00,7.31,0.52,4.85,4.09,4.35,1.63,6.63
6/10/2020 0:00:00,0.00,7.23,0.52,4.76,4.41,4.36,1.53,6.42
6/11/2020 0:00:00,0.00,6.24,0.52,4.09,4.13,3.83,1.26,5.43
6/12/2020 0:00:00,0.00,3.84,0.51,2.50,2.73,2.39,0.74,3.26
6/13/2020 0:00:00,0.00,3.48,0.51,2.25,2.66,2.20,0.63,2.89
6/14/2020 0:00:00,0.00,5.17,0.51,3.32,4.22,3.31,0.89,4.20
6/15/2020 0:00:00,0.00,4.91,0.51,3.11,3.77,3.04,0.86,3.85
6/16/2020 0:00:00,0.00,5.08,0.51,3.19,3.67,3.05,0.90,3.85
6/17/2020 0:00:00,0.00,7.05,0.50,4.37,4.76,4.09,1.27,5.15
6/18/2020 0:00:00,0.00,7.05,0.50,4.32,4.44,3.95,1.29,4.96
6/19/2020 0:00:00,0.00,6.51,0.50,3.94,3.80,3.53,1.21,4.40
6/20/2020 0:00:00,0.00,6.33,0.50,3.79,3.40,3.30,1.20,4.11
6/21/2020 0:00:00,0.00,6.07,0.50,3.59,2.97,3.04,1.17,3.77
6/22/2020 0:00:00,0.00,6.42,0.50,3.75,2.85,3.10,1.25,3.82
6/23/2020 0:00:00,0.00,6.51,0.36,2.68,0.91,2.69,0.75,2.31
6/24/2020 0:00:00,0.00,6.33,0.38,2.79,1.11,2.69,0.76,2.43
6/25/2020 0:00:00,0.00,6.24,0.40,2.92,1.31,2.73,0.78,2.58
6/26/2020 0:00:00,0.00,6.87,0.42,3.40,1.68,3.08,0.90,3.03
6/27/2020 0:00:00,0.00,6.60,0.44,3.45,1.84,3.04,0.90,3.10
6/28/2020 0:00:00,0.00,5.00,0.45,2.75,1.56,2.36,0.71,2.49
6/29/2020 0:00:00,0.00,6.07,0.47,3.51,2.11,2.93,0.89,3.20
6/30/2020 0:00:00,0.00,6.51,0.49,3.95,2.49,3.22,0.99,3.63
7/1/2020 0:00:00,0.00,6.03,0.49,3.64,2.13,2.90,0.93,3.32
7/2/2020 0:00:00,0.00,5.77,0.49,3.48,1.87,2.70,0.89,3.14
7/3/2020 0:00:00,0.00,6.03,0.48,3.62,1.78,2.74,0.94,3.24
7/4/2020 0:00:00,0.00,7.75,0.48,4.64,2.06,3.42,1.21,4.11
7/5/2020 0:00:00,0.00,7.84,0.48,4.67,1.85,3.35,1.23,4.11
7/6/2020 0:00:00,0.00,6.29,0.47,3.73,1.30,2.60,1.00,3.25
7/7/2020 0:00:00,0.00,6.37,0.47,3.77,1.13,2.55,1.02,3.25
7/8/2020 0:00:00,0.00,6.81,0.47,4.01,1.01,2.63,1.09,3.43
7/9/2020 0:00:00,0.00,7.06,0.42,3.66,3.18,2.79,0.75,2.85
7/10/2020 0:00:00,0.00,7.58,0.42,3.90,3.31,3.06,0.81,3.13
7/11/2020 0:00:00,0.00,8.10,0.41,4.14,3.44,3.33,0.86,3.41
7/12/2020 0:00:00,0.00,8.27,0.41,4.20,3.40,3.47,0.87,3.56
7/13/2020 0:00:00,0.00,6.55,0.41,3.30,2.61,2.80,0.69,2.88
7/14/2020 0:00:00,0.00,5.86,0.41,2.93,2.26,2.55,0.61,2.63
7/15/2020 0:00:00,0.00,5.86,0.40,2.91,2.19,2.59,0.61,2.68
7/16/2020 0:00:00,0.00,6.20,0.40,3.06,2.24,2.80,0.64,2.90
7/17/2020 0:00:00,0.00,6.12,0.41,3.07,2.09,2.81,0.68,2.97
7/18/2020 0:00:00,0.00,6.12,0.41,3.13,1.97,2.87,0.72,3.08
7/19/2020 0:00:00,0.00,5.86,0.42,3.05,1.77,2.81,0.74,3.06
7/20/2020 0:00:00,0.00,5.51,0.43,2.92,1.56,2.69,0.73,2.98
7/21/2020 0:00:00,0.00,5.51,0.44,2.97,1.46,2.74,0.77,3.08
7/22/2020 0:00:00,0.00,5.51,0.44,3.02,1.35,2.80,0.81,3.18
7/23/2020 0:00:00,0.00,5.51,0.45,3.07,1.24,2.85,0.86,3.29
7/24/2020 0:00:00,0.00,5.60,0.46,3.17,1.15,2.95,0.91,3.44
7/25/2020 0:00:00,0.00,6.29,0.38,2.83,2.34,2.39,0.64,2.38
7/26/2020 0:00:00,0.00,6.12,0.38,2.83,2.11,2.32,0.63,2.31
7/27/2020 0:00:00,0.00,6.37,0.39,3.03,2.03,2.42,0.65,2.41
7/28/2020 0:00:00,0.00,6.46,0.39,3.14,1.88,2.45,0.66,2.44
7/29/2020 0:00:00,0.00,6.46,0.40,3.22,1.71,2.45,0.67,2.45
7/30/2020 0:00:00,0.00,6.29,0.40,3.21,1.50,2.38,0.65,2.38
7/31/2020 0:00:00,0.00,6.46,0.41,3.38,1.37,2.45,0.67,2.45
8/1/2020 0:00:00,0.00,6.70,0.41,3.58,1.24,2.54,0.70,2.54
8/2/2020 0:00:00,0.00,6.79,0.42,3.67,1.31,2.54,0.77,2.67
8/3/2020 0:00:00,0.00,6.53,0.43,3.57,1.32,2.42,0.80,2.66
8/4/2020 0:00:00,0.00,5.53,0.43,3.05,1.16,2.02,0.73,2.33
8/5/2020 0:00:00,0.00,3.52,0.44,1.96,0.77,1.27,0.50,1.53
8/6/2020 0:00:00,0.00,4.61,0.45,2.60,1.04,1.65,0.70,2.07
8/7/2020 0:00:00,0.00,5.19,0.45,2.96,1.22,1.84,0.84,2.40
8/8/2020 0:00:00,0.00,5.70,0.46,3.28,1.39,1.99,0.97,2.72
8/9/2020 0:00:00,0.00,6.12,0.46,3.56,1.54,2.11,1.10,3.00
8/10/2020 0:00:00,0.00,5.95,0.41,2.92,0.67,2.15,0.63,2.47
8/11/2020 0:00:00,0.00,5.61,0.38,2.50,0.76,1.98,0.55,2.09
8/12/2020 0:00:00,0.00,5.95,0.35,2.38,0.95,2.03,0.54,1.96
8/13/2020 0:00:00,0.00,6.95,0.33,2.46,1.28,2.31,0.57,2.00
8/14/2020 0:00:00,0.00,6.87,0.30,2.12,1.42,2.21,0.52,1.68
8/15/2020 0:00:00,0.00,6.53,0.27,1.72,1.51,2.04,0.44,1.31
8/16/2020 0:00:00,0.00,7.04,0.25,1.54,1.80,2.12,0.42,1.11
8/17/2020 0:00:00,0.00,7.79,0.22,1.35,2.17,2.27,0.40,0.90
8/18/2020 0:00:00,0.00,8.04,0.25,1.69,1.99,2.31,0.50,1.47
8/19/2020 0:00:00,0.00,7.96,0.27,1.97,1.72,2.25,0.58,1.99
8/20/2020 0:00:00,0.00,6.70,0.29,1.91,1.24,1.87,0.56,2.13
8/21/2020 0:00:00,0.00,6.28,0.32,2.02,0.97,1.72,0.59,2.42
8/22/2020 0:00:00,0.00,6.03,0.34,2.17,0.74,1.63,0.63,2.73
8/23/2020 0:00:00,0.00,6.37,0.36,2.52,0.58,1.69,0.74,3.31
8/24/2020 0:00:00,0.00,5.61,0.39,2.43,0.34,1.46,0.71,3.29
8/25/2020 0:00:00,0.00,4.44,0.41,2.09,0.13,1.14,0.61,2.91
8/26/2020 0:00:00,0.00,4.86,0.40,2.35,0.53,1.24,0.52,2.42
8/27/2020 0:00:00,0.00,5.03,0.39,2.32,0.49,1.16,0.53,2.42
8/28/2020 0:00:00,0.00,5.45,0.38,2.40,0.47,1.13,0.57,2.54
8/29/2020 0:00:00,0.00,5.78,0.37,2.42,0.43,1.06,0.59,2.60
8/30/2020 0:00:00,0.00,5.70,0.36,2.27,0.35,0.91,0.58,2.48
