Date,P_in,tmin_degF,tmean_degF,tmax_degF,tdmean_degF,vpdmin_hPa,vpdmax_hPa
2020-10-01,0,73.6,83,92.4,43,21.96,43.01
2020-10-02,0,79.5,85,90.6,37.8,27.42,41.5
2020-10-03,0,78,83.5,88.9,38,25.84,39.09
2020-10-04,0,78,84.4,90.8,36.8,27.14,43.47
2020-10-05,0,71.6,80.2,88.7,32.2,21.62,40.13
2020-10-06,0,72.8,80.1,87.4,37.1,21.43,36.78
2020-10-07,0,70.4,78.4,86.4,39.9,18.96,35.47
2020-10-08,0,61.4,71.9,82.4,36.2,12.68,32.52
2020-10-09,0,50,58.8,67.6,45.6,0.68,14.83
2020-10-10,0,50.6,59.1,67.6,50.7,0.21,10.48
2020-10-11,0,53.4,60.5,67.7,53.5,0.3,9.18
2020-10-12,0,52.7,62.4,72.1,40.9,1.25,19.14
2020-10-13,0,62.4,71.9,81.3,36.6,12.15,29.29
2020-10-14,0,69.3,76.4,83.5,40,17.09,31.11
2020-10-15,0,67.5,76,84.5,39,12.8,33.6
2020-10-16,0,68.8,77.5,86.3,30,19.13,36.46
2020-10-17,0,67.6,76.9,86.3,31.6,17.47,36.8
2020-10-18,0,73.1,81.1,89.1,32.2,22.38,40.44
2020-10-19,0,68.6,76.7,84.7,36.5,15.53,33.04
2020-10-20,0,67.2,74.8,82.3,41.8,14.69,27.95
2020-10-21,0,68.8,75.8,82.8,37.8,17.16,30.86
2020-10-22,0,65.7,74,82.3,38.3,14.26,29.77
2020-10-23,0,54.9,64.9,74.8,30.2,8.27,24.07
2020-10-24,0,47.8,57.5,67.2,41.3,1.08,14.03
2020-10-25,0,51.1,57.5,63.9,48.7,1.21,8.69
2020-10-26,0,47.5,53.9,60.2,27.7,1.44,12.46
2020-10-27,0,47.7,56.9,66.1,-1.9,9.94,20.81
2020-10-28,0,55.2,62.6,70.1,17,11.99,21.73
2020-10-29,0,56.7,64.5,72.4,25.5,11.74,22.57
2020-10-30,0,58.8,66.3,73.8,28.8,12.35,22.98
2020-10-31,0,61.5,67.8,74.1,32,12.89,22.63
2020-11-01,0,64,70.9,77.8,26.8,13.31,27.63
2020-11-02,0,66.8,74.2,81.7,24.7,16.35,32.85
2020-11-03,0,62.4,72.4,82.4,27.1,12.04,33.43
2020-11-04,0,59.6,68.1,76.5,27.4,11.6,27.52
2020-11-05,0,60,66.7,73.4,41.5,7.42,17.4
2020-11-06,0,50.4,64.8,79.2,42.8,0.49,24.95
2020-11-07,0.03,39.3,45.1,51,37.5,0.26,6.03
2020-11-08,0,38.6,44.8,51.1,35.6,0.36,5.76
2020-11-09,0.02,36.1,41.2,46.2,26.9,0.42,5.7
2020-11-10,0,37.2,43.4,49.5,18,2.56,8.57
2020-11-11,0,40.5,48.4,56.3,27.5,0.52,11.14
2020-11-12,0,41.5,48,54.5,37.7,0.64,6.38
2020-11-13,0,42.4,50,57.7,31.8,2.02,10.09
2020-11-14,0.21,43.5,48.7,53.8,36.4,0.19,8.47
2020-11-15,0,42,48.8,55.7,39.5,0.39,7.09
2020-11-16,0,47.9,56.2,64.6,34.6,3.51,15.52
2020-11-17,0,55,63.7,72.5,36.5,5.37,20.5
2020-11-18,0.54,49.8,55.5,61.1,43.5,0.14,13.54
2020-11-19,0.39,44.4,48.2,51.9,46,0.14,2.25
2020-11-20,0,44,49.5,54.9,35.9,1.38,6.63
2020-11-21,0,43.6,50.7,57.9,25.8,3.27,10.85
2020-11-22,0,45.7,52.5,59.2,23.4,5,11.83
2020-11-23,0,43.3,52.9,62.5,29.1,1.16,14.6
2020-11-24,0,43.8,48.7,53.5,40.3,0.16,4.98
2020-11-25,0,42.3,50.3,58.4,34.3,0.71,9.85
2020-11-26,0,42.6,47.5,52.4,35,0.42,5.56
2020-11-27,0,42.3,47.9,53.5,19.8,3.99,9.95
2020-11-28,0,43.4,50.8,58.1,18.7,5,12.98
2020-11-29,0,45.5,53.7,61.8,21.3,5.44,14.94
2020-11-30,0,49,55.7,62.4,20.9,6.84,15.51
2020-12-01,0,47.8,55.5,63.3,23.4,5.42,14.99
2020-12-02,0,45.8,53.8,61.9,28.9,4.04,12.78
2020-12-03,0,48.5,54.7,61,27.3,5.05,12.94
2020-12-04,0,49.5,56.1,62.8,25.9,5.82,14.6
2020-12-05,0,50.4,57.1,63.7,24.5,6.28,15.38
2020-12-06,0,49.1,57.8,66.5,24.2,5.65,18.3
2020-12-07,0,46.6,51.3,55.9,32.7,2.12,8.66
2020-12-08,0,46.8,55.3,63.8,22.1,6.6,16.22
2020-12-09,0,55.2,62,68.8,18.7,10.16,20.18
2020-12-10,0,50.1,57.2,64.4,23.1,5.98,17.34
2020-12-11,0,38.7,49.9,61.1,26.3,0.71,13.93
2020-12-12,0.6,37.7,43.7,49.6,36.5,0.11,6.47
2020-12-13,0.15,43.3,46.6,50,43.5,0.1,2.79
2020-12-14,0.65,39.2,43.8,48.4,42.9,0.09,1.09
2020-12-15,0,36.9,42.3,47.7,34.7,0.22,4.51
2020-12-16,0,43.3,47.9,52.4,34,1.82,7.58
2020-12-17,0.24,43.1,50.4,57.7,40.7,0.25,6.88
2020-12-18,0.21,39.7,43.3,46.8,38.5,0.11,3.4
2020-12-19,0,39.7,46.7,53.7,26.1,2.51,9.19
2020-12-20,0,43.2,50.8,58.4,27.4,2.62,11.46
2020-12-21,0,43.8,51.6,59.5,29.6,2.79,12.22
2020-12-22,0,45.1,55.3,65.5,28.4,1.49,17.27
2020-12-23,0,39.8,46.2,52.6,28.8,0.4,8.3
2020-12-24,0,38.8,46.9,55,20.2,3.62,11.4
2020-12-25,0,48.4,53.8,59.1,22.3,5.61,14.67
2020-12-26,0.08,46.4,51.8,57.2,34.9,0.22,11.15
2020-12-27,0.02,41.4,46.3,51.2,38.6,0.3,4.43
2020-12-28,0.06,37.9,44.2,50.6,33.5,0.66,6.04
2020-12-29,0,37.8,41.8,45.7,34.8,0.26,3.52
2020-12-30,0,38.9,46.8,54.6,22.3,1.77,9.97
2020-12-31,0.1,41.1,48.3,55.4,28,0.23,11.25
2021-01-01,0.04,37.9,44.1,50.3,36.2,0.39,5.04
2021-01-02,0,39.6,46.4,53.3,34.3,2.22,6.91
2021-01-03,0.14,44.1,46.2,48.2,44.9,0,2.9
2021-01-04,0,41.7,47,52.3,42.8,0.22,4.54
2021-01-05,0.17,38.7,43.7,48.7,42.7,0.12,2.22
2021-01-06,0,36.7,43.8,50.9,34.3,0.43,5.99
2021-01-07,0,39.8,48.4,57,33.2,0.98,11.1
2021-01-08,0,42.1,49.3,56.5,37.8,0.72,7.75
2021-01-09,0,36.6,45.6,54.7,41.1,0.32,4.86
2021-01-10,0,37.8,46.5,55.2,29.1,1.46,9.97
2021-01-11,0,40.8,48.4,56,39.6,0.35,8.13
2021-01-12,0,40.7,49.3,58,41.2,0.5,6.49
2021-01-13,0,44,50.3,56.7,39.8,1.93,7.74
2021-01-14,0,46.1,55.2,64.3,46.6,0.36,8.65
2021-01-15,0,47.4,57.8,68.1,36.4,1.17,13.68
2021-01-16,0,52.3,60.9,69.5,36.4,5.88,17.14
2021-01-17,0,51.5,61.1,70.7,38.4,5.05,17.91
2021-01-18,0,49.6,59.2,68.8,34.3,4.9,17.33
2021-01-19,0,46.7,56.3,65.8,16.2,6.02,18.57
2021-01-20,0,42.2,48.2,54.2,14.2,6.16,11.12
2021-01-21,0,43,52.5,62,18.8,6.12,14.91
2021-01-22,0,38.1,48.4,58.7,23.6,1.11,13.01
2021-01-23,0.28,34.8,37.4,40,37.4,0,0.43
2021-01-24,0,34.3,39.5,44.7,35.2,0.25,2.19
2021-01-25,0.2,32.7,35.7,38.6,35.3,0.13,0.78
2021-01-26,0.03,32.1,35.8,39.4,29.7,0.55,2.61
2021-01-27,1.03,29.5,34.6,39.8,31.9,0.18,2.57
2021-01-28,1.49,38.3,41,43.7,40.2,0.15,0.78
2021-01-29,1.54,38.4,40.3,42.1,40.3,0,0.03
2021-01-30,0.01,34.4,40.4,46.4,35.4,0.15,3.4
2021-01-31,0,39.4,45.5,51.6,35.6,1.46,6.57
2021-02-01,0,46.4,52.2,57.9,30.8,4.34,11.51
2021-02-02,0.04,47.8,52,56.2,36.3,2.24,9.23
2021-02-03,0.31,38.7,43.8,48.8,43,0.02,1.13
2021-02-04,0,36.8,42,47.2,36.2,0.36,3.58
2021-02-05,0,39.3,45.7,52.2,23.4,3.11,8.97
2021-02-06,0,45,53,60.9,29.6,5.47,11.28
2021-02-07,0,50.6,57.1,63.5,24.3,7.99,16.19
2021-02-08,0,50.1,56.5,62.8,29.2,5.63,13.47
2021-02-09,0,43.4,52.2,60.9,30.9,0.94,14.02
2021-02-10,0,45,50.3,55.7,38,1.9,7.94
2021-02-11,0,45.4,50.4,55.5,39.1,2.44,5.35
2021-02-12,0.47,41.1,47.4,53.6,41.1,0.03,5.84
2021-02-13,0.05,40.2,44.4,48.7,42,0.02,1.5
2021-02-14,0.16,38.9,42.3,45.7,40.7,0.04,0.87
2021-02-15,0.11,37.9,42.2,46.5,39.7,0.05,3.32
2021-02-16,0.05,40.1,44.2,48.4,44.2,0,0.08
2021-02-17,0,37.2,41.1,45,37.6,0.15,3.23
2021-02-18,0,39.3,45.3,51.3,20.2,1.84,9.64
2021-02-19,0,42.4,50.5,58.5,24.4,4.4,11.92
2021-02-20,0.09,38.1,45.9,53.7,43,0.08,3.8
2021-02-21,0.02,37.8,43.4,49,34.1,0.3,4.97
2021-02-22,0,42.7,48.5,54.3,29,3.84,8.7
2021-02-23,0,44.8,54.2,63.7,32.2,4.03,14.13
2021-02-24,0,53.3,59.3,65.3,19.1,7.75,17.85
2021-02-25,0,43.8,51.1,58.4,9.4,7.12,14.41
2021-02-26,0,43.9,51.4,58.9,13.6,6.53,14.12
2021-02-27,0,37.5,46.1,54.6,34,0.35,8.2
2021-02-28,0,38.6,45.6,52.6,25.1,2.55,9.24
2021-03-01,0,39.7,48.4,57.2,24,4.37,11.05
2021-03-02,0,44.8,52.3,59.9,20,6.67,13.21
2021-03-03,0,44.3,52.4,60.5,25,5.49,13.56
2021-03-04,0,39.5,49.6,59.8,29.3,0.72,13.03
2021-03-05,0,41.8,50.1,58.5,33,1.73,9.71
2021-03-06,0.3,37.4,47,56.7,37.9,0.08,9.03
2021-03-07,0.02,35,43,51,35.3,0,4.18
2021-03-08,0,35.5,44.1,52.7,31.6,0.32,7.7
2021-03-09,0,33.1,39.9,46.8,31.2,0.33,4.95
2021-03-10,0.39,34.4,40.1,45.9,34.1,0.14,3.45
2021-03-11,0.45,31.2,35.2,39.3,33.8,0,0.8
2021-03-12,0.06,32.1,38.3,44.6,33.3,0.05,3.91
2021-03-13,0,36,45.5,55,30.9,0.42,9.78
2021-03-14,0,34.7,42.5,50.3,34.5,0.11,6.37
2021-03-15,0.47,32.6,39,45.5,36.3,0.03,2.16
2021-03-16,0.13,31.7,35.1,38.5,31,0.23,1.97
2021-03-17,0,33.1,39.8,46.6,32.9,0.47,4.14
2021-03-18,0,34.6,41.9,49.2,36.4,0.55,4.6
2021-03-19,0.59,39,45.4,51.9,44,0,3.19
2021-03-20,0.01,37.4,42.7,47.9,40.1,0.03,2.13
2021-03-21,0,36.4,42.6,48.8,34.6,0.25,4.38
2021-03-22,0,35.8,45,54.2,33,0.45,6.78
2021-03-23,0,36.1,44.2,52.3,37.6,0,5.04
2021-03-24,0,39.4,46.6,53.8,22.6,1.13,9.61
2021-03-25,0,38,48.8,59.6,27.1,0.05,12.41
2021-03-26,0,37.9,44.4,50.9,36.7,0.09,4.43
2021-03-27,0,42.1,51.9,61.7,27.6,2.67,13.43
2021-03-28,0,50.7,58.6,66.4,29.4,8.08,15.63
2021-03-29,0,51.1,60.8,70.5,29,7.49,18.7
2021-03-30,0,47.1,54.7,62.4,29.4,4.7,12.55
2021-03-31,0,45.3,55.9,66.5,17.2,7.56,18.46
2021-04-01,0,48.4,61.5,74.6,28.9,7.03,23.48
2021-04-02,0,57.3,66.8,76.3,28,9.29,25.43
2021-04-03,0,38.6,55,71.4,36,1.11,18.13
2021-04-04,0,38.8,48.9,59,39.6,0.12,8.24
2021-04-05,0,38.9,48.8,58.7,40.1,0.34,7.39
2021-04-06,0,37.8,47.9,58.1,39.9,0.15,7.73
2021-04-07,0,37.5,51.6,65.6,42,0.16,12.22
2021-04-08,0,35.2,47.8,60.4,37.5,0.37,11.69
2021-04-09,0,35.5,49.9,64.4,34.2,0.24,12.95
2021-04-10,0,35.8,48.8,61.8,35,0.5,12.4
2021-04-11,0,37.2,52.2,67.2,33.5,0.81,13.2
2021-04-12,0,42.6,55.7,68.8,36.8,2.68,13.34
2021-04-13,0,50.2,59.6,69,36.9,3.17,15.23
2021-04-14,0,36.1,46.8,57.5,37,0.36,8.7
2021-04-15,0,36.4,48.7,60.9,33.1,0.76,12.28
2021-04-16,0,38,50.6,63.2,33.3,1.37,13.35
2021-04-17,0,39.2,52.5,65.7,35.5,1.49,14.6
2021-04-18,0,41.7,55.4,69.1,37.3,1.51,13.73
2021-04-19,0,58.2,67.2,76.2,29.3,8.36,23.72
2021-04-20,0,42.2,55.8,69.4,37.4,2.3,15.93
2021-04-21,0,38.8,48.5,58.1,40.2,0.11,6.95
2021-04-22,0,40.6,52.3,64,41.9,0.22,11.42
2021-04-23,0,39.9,51.4,63,42.3,0.2,9.09
2021-04-24,0,39.9,51.4,63,40.5,0.39,9.8
2021-04-25,0,40.6,50.1,59.7,39,0.15,10.41
2021-04-26,0.22,36.8,42.9,48.9,40,0.13,4.24
2021-04-27,0,35.1,44.2,53.3,36.9,0.08,6.94
2021-04-28,0,36.3,49.3,62.3,35.6,0.44,11.43
2021-04-29,0,47.7,61.2,74.7,33.4,4.52,21.67
2021-04-30,0,53.4,65.1,76.7,36.6,6.33,21.17
2021-05-01,0,47.2,60.4,73.7,40.2,1.79,19.95
2021-05-02,0,44.5,55.3,66,42.9,0.62,10.87
2021-05-03,0,46.8,57.8,68.9,41.2,2.07,13.99
2021-05-04,0,60.2,68.5,76.7,36.6,6.32,23.37
2021-05-05,0,62.1,70.7,79.2,41.2,7.49,23.43
2021-05-06,0,54.3,67.8,81.3,42.2,3.22,25.94
2021-05-07,0,44.6,56.8,69.1,39.6,0.49,15.75
2021-05-08,0,42.6,55.3,67.9,38.6,1.05,13.45
2021-05-09,0,57.3,67,76.7,29.4,8.31,26.74
2021-05-10,0,59.5,66.8,74.1,37.8,7.17,19.57
2021-05-11,0,60.8,70.3,79.8,35.4,8.15,25.95
2021-05-12,0,64.8,73.1,81.4,33.4,11.72,30.38
2021-05-13,0,61.1,69.9,78.7,40.8,5.45,23.23
2021-05-14,0,53.2,64.8,76.4,44.5,3.54,19.53
2021-05-15,0,42.8,56.4,70,44.4,0.29,13.48
2021-05-16,0,42.6,52.1,61.5,44.2,0.28,7.96
2021-05-17,0,44.8,55.4,66.1,45.3,0.51,10.62
2021-05-18,0,44.1,55.5,66.9,41.6,0.79,12.85
2021-05-19,0,42.1,56,69.8,32.1,2.03,17.76
2021-05-20,0,39.5,49.3,59.2,35.2,0.72,10.29
2021-05-21,0,38.4,47.7,56.9,34.2,0.33,9.34
2021-05-22,0,41.8,50.9,60,31.8,1.73,12.21
2021-05-23,0,43.4,54.8,66.2,35.4,1.38,14.71
2021-05-24,0,41.8,52.3,62.8,40,1.15,10.83
2021-05-25,0,52.3,63.8,75.3,41.1,2.76,21.66
2021-05-26,0,52.6,59.9,67.2,39.2,2.31,15.39
2021-05-27,0,50.1,62.8,75.6,38.1,3.93,21.39
2021-05-28,0,46.2,58.5,70.7,43.2,0.7,17.97
2021-05-29,0,44.4,58.9,73.3,44.5,0.84,16.92
2021-05-30,0,44.6,56.2,67.9,44.7,2.11,12.15
2021-05-31,0,50.4,67,83.6,42.1,3.41,28.51
2021-06-01,0,73.6,81.7,89.8,43.3,17.38,35.81
2021-06-02,0,69.8,78.7,87.6,47.5,13.96,32.73
2021-06-03,0,60.5,70.6,80.8,48,6.46,22.19
2021-06-04,0,61.1,72.7,84.4,46.9,6.57,27.68
2021-06-05,0,59.7,69.9,80,43.7,6.42,24.44
2021-06-06,0,60.5,69.9,79.3,42.7,6.8,24.83
2021-06-07,0,48.5,61.8,75,40.4,2.3,21.07
2021-06-08,0,43.5,54,64.6,37.9,0.55,13.03
2021-06-09,0,42.7,52,61.4,38,0.5,11.11
2021-06-10,0,42.5,50.9,59.4,38.4,0.48,9.95
2021-06-11,0,43.2,54,64.8,35.4,0.63,13.59
2021-06-12,0,45.9,58.1,70.4,39.2,0.85,20.05
2021-06-13,0,53.6,66,78.3,53.9,0.31,17.71
2021-06-14,0,54.8,65.3,75.8,53,0.47,16.13
2021-06-15,0,52.2,62.5,72.8,47.6,0.6,14.48
2021-06-16,0,53,65.3,77.6,40.7,5.37,21.54
2021-06-17,0,68.9,78.9,89,39.2,15.56,36.82
2021-06-18,0,77.8,87.7,97.6,38.3,20.87,51.09
2021-06-19,0,78.9,88,97.2,42.7,20.08,50.36
2021-06-20,0,72.2,82.3,92.5,43.9,14.39,42.45
2021-06-21,0,60.7,75.4,90.1,46.1,7.89,41.78
2021-06-22,0,52.5,65.7,78.9,49.3,0.8,21.77
2021-06-23,0,50.8,62.7,74.7,50.7,0.38,15.15
2021-06-24,0,50.9,62.9,74.9,49.4,0.53,17.51
2021-06-25,0,49.9,62.4,74.8,49.2,0.51,17.11
2021-06-26,0,50.9,65.7,80.5,50,1.63,23.08
2021-06-27,0,64.3,74.1,83.9,51,7.54,25.98
2021-06-28,0,62.6,73.4,84.1,50.4,5.16,28.91
2021-06-29,0,60.7,70.6,80.5,50.6,4.22,21.92
2021-06-30,0,61.6,72.7,83.9,52.1,5.18,24.86
2021-07-01,0,56.8,65.4,74,53.2,2.58,14.02
2021-07-02,0,54.3,66.5,78.8,53.7,0.12,18.81
2021-07-03,0,54.7,67.4,80.2,53.2,1.52,20.18
2021-07-04,0,55.7,67.1,78.4,51.8,1.01,18.07
2021-07-05,0,56.2,67.3,78.4,50.3,1.99,18.73
2021-07-06,0,58.1,68.4,78.8,48.1,5.06,20.14
2021-07-07,0,52,63.9,75.9,42,0.7,23.96
2021-07-08,0,49.1,62.3,75.5,43.7,0.73,22.93
2021-07-09,0,74.8,83.5,92.1,37.8,11.69,44.53
2021-07-10,0,80.4,89,97.5,35,28.29,51.74
2021-07-11,0,81.2,90.3,99.4,32.6,28.69,60.09
2021-07-12,0,76.1,83.3,90.5,36.7,24.11,44.98
2021-07-13,0,63,73.4,83.8,46.4,9.64,27.79
2021-07-14,0,55.2,66.4,77.5,49.4,2.38,19.8
2021-07-15,0,55.5,67.9,80.3,47.5,2.75,23.32
2021-07-16,0,58.8,67.9,76.9,47.9,5.35,18.78
2021-07-17,0,60.7,69.4,78.2,46.2,8.61,20.63
2021-07-18,0,71.6,78.5,85.5,44,17.29,29.44
2021-07-19,0,73.8,81.3,88.8,44.1,17.66,35.55
2021-07-20,0,69.6,79.2,88.9,41.9,15.77,39.02
2021-07-21,0,64.2,71.4,78.7,43.5,10.44,22.08
2021-07-22,0,62.7,72.6,82.4,39.9,9.63,29.9
2021-07-23,0,64,72.7,81.3,40.9,7.1,28.04
2021-07-24,0,71,79.4,87.8,42.3,13.5,33.55
2021-07-25,0,72.8,80.8,88.8,40.4,18.8,35.87
2021-07-26,0,72.4,80.1,87.9,39.7,18.85,35.39
2021-07-27,0,70.5,76.3,82.1,39.4,15.8,29.79
2021-07-28,0,65.7,76.7,87.7,45.4,8.76,33.24
2021-07-29,0,69.6,78.9,88.1,49.3,13.29,30.89
2021-07-30,0,74.5,81.4,88.4,47.2,19.21,32.5
2021-07-31,0,73.6,81,88.5,46.8,16.59,33.19
2021-08-01,0,67,76.1,85.2,46.8,16.31,32.22
2021-08-02,0,53.2,66.5,79.8,48.3,1.8,21.78
2021-08-03,0,58.8,71.5,84.2,46.3,7.94,29.9
2021-08-04,0,65.6,76.8,88.1,37.7,15.6,35.34
2021-08-05,0,55.3,69.8,84.3,44.4,2.89,32.32
2021-08-06,0,50.6,64.2,77.8,47.5,2.17,19.85
2021-08-07,0,63.2,75.7,88.3,44.2,7.68,33.72
2021-08-08,0,65.6,77.4,89.2,46.1,14.72,38.23
2021-08-09,0,61,74.2,87.4,49.3,9.69,30.99
2021-08-10,0,64.1,75.7,87.2,45,13.78,36.28
2021-08-11,0,70,80.4,90.8,44.8,18.3,38.76
2021-08-12,0,70.2,79.6,89.1,48.2,16.64,34.16
2021-08-13,0,67.4,78.4,89.4,44.9,15,36.64
2021-08-14,0,68.3,77,85.8,44.2,16.73,32.29
2021-08-15,0,68.4,78.4,88.5,49.3,15.53,32.88
2021-08-16,0,73.2,82.4,91.6,52.3,17.68,34.89
2021-08-17,0,63.8,76.1,88.4,48,10.55,34.96
2021-08-18,0,49.6,66.1,82.6,47,4.41,26.45
2021-08-19,0,51.6,63.8,76,45.5,4.12,19.94
2021-08-20,0,54.2,65.5,76.8,49.4,3.42,19.22
2021-08-21,0,52.5,64.5,76.4,49.2,4.24,18.38
2021-08-22,0,48.9,61,73.2,49,0.49,13.26
2021-08-23,0,50,63.9,77.7,46.5,1.05,22.62
2021-08-24,0,54.3,67.8,81.2,43.4,6.42,28.29
2021-08-25,0,53.9,66.7,79.6,48,3.09,21.8
2021-08-26,0,57.1,68.3,79.5,43.8,5.07,24.18
2021-08-27,0,64.8,75.2,85.6,40.2,14.91,32.05
2021-08-28,0,69.4,81.2,93,41.6,19.17,44.16
2021-08-29,0,72.7,85,97.3,41.3,22.13,52.21
2021-08-30,0,68.7,80.3,92,44.5,16.89,40.04
2021-08-31,0,66.5,81.4,96.3,38,14.18,51.37
2021-09-01,0,61,72.6,84.2,43.5,8.91,30.87
2021-09-02,0,49.3,61.5,73.6,44.2,2.24,18.01
2021-09-03,0,47.8,59.9,72,45.8,1.11,16.54
2021-09-04,0,54.8,66.5,78.1,47.4,5.77,20.86
2021-09-05,0,68.6,77.1,85.7,43.5,15.63,32.6
2021-09-06,0,73.7,82.2,90.7,33,22.3,42.85
2021-09-07,0,76.7,85.2,93.7,35.2,25.59,46.99
2021-09-08,0,76.5,82.5,88.6,38.9,22.19,39.82
2021-09-09,0,77.3,84.4,91.6,46.9,22.29,38.68
2021-09-10,0,66,77.1,88.1,43.2,12.1,38.79
2021-09-11,0,63.6,70.5,77.4,48,8.04,19.57
2021-09-12,0,65.8,72.8,79.9,43.9,12.55,24.49
2021-09-13,0,69.8,77.4,85.1,41.9,16.4,31.88
2021-09-14,0,72.8,80.1,87.4,37.9,20.34,35.06
2021-09-15,0,69.7,78.2,86.8,43,16.09,32.89
2021-09-16,0,62.5,71.7,80.9,44.9,8.62,25.82
2021-09-17,0,54.1,63.4,72.7,46.4,2.17,16.71
2021-09-18,0,49.5,61.9,74.3,47.2,1.76,17.28
2021-09-19,0,48.1,57.8,67.5,52.2,0.06,9.48
2021-09-20,0,54.3,61.6,68.8,50,0.09,10.72
2021-09-21,0,60.9,71.5,82.1,36.8,10.64,30.36
2021-09-22,0,72.2,81.3,90.3,39.9,18.61,39.42
2021-09-23,0,67.5,75.4,83.3,42.1,15.02,27.49
2021-09-24,0,69.8,77.9,86.1,42.8,16.31,31.99
2021-09-25,0,66.6,76.6,86.6,45.4,12.52,33.47
2021-09-26,0,54.2,66.9,79.7,50.3,2.95,23.14
2021-09-27,0,49.5,59.8,70.1,49.9,0.7,12.78
2021-09-28,0,47.5,58,68.5,51.6,0.03,10.2
2021-09-29,0,48.2,58.9,69.7,39.9,0.82,17.27
2021-09-30,0,52.8,62.3,71.8,38.2,4.7,17.72