Optimization Results - Uniform,,,,,
NDC,,,SDC,,
iter,S_init,RMSE,iter,S_init,RMSE
1,100.000,0.944,1,100.000,1.052
2,100.000,0.944,2,100.000,1.052
3,99.981,0.944,3,99.984,1.051
4,99.981,0.944,4,99.984,1.051
5,99.887,0.942,5,99.904,1.050
6,99.887,0.942,6,99.904,1.050
7,99.411,0.933,7,99.504,1.044
8,99.411,0.933,8,99.504,1.044
9,97.054,0.889,9,97.504,1.012
10,97.054,0.889,10,97.504,1.012
11,85.476,0.694,11,87.514,0.857
12,85.476,0.694,12,87.514,0.857
13,44.580,1.087,13,40.760,0.896
14,73.206,0.586,14,65.372,0.636
15,73.206,0.586,15,65.372,0.636
16,71.951,0.586,16,62.086,0.635
17,71.951,0.586,17,62.086,0.635
18,72.278,0.586,18,63.529,0.634
19,72.278,0.586,19,63.529,0.634
20,72.252,0.586,20,63.600,0.634
,,,21,63.600,0.634